date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-01-22,CO,5462,4761,22,701,21146,21146,772,105,,,1969395,6963,285409,,,,,383008,364775,1798,0,40775,,,,,,5185408,45107,5185408,45107,328039,,,,2334170,8597,,0
2021-01-21,CO,5440,4746,18,694,21041,21041,783,64,,,1962432,7831,283758,,,,,381210,363141,1983,0,40224,,,,,,5140301,41760,5140301,41760,326184,,,,2325573,9599,,0
2021-01-20,CO,5422,4731,34,691,20977,20977,827,208,,,1954601,5004,282173,,,,,379227,361373,1371,0,39822,,,,,,5098541,40778,5098541,40778,323982,,,,2315974,6201,,0
2021-01-19,CO,5388,4702,2,686,20769,20769,786,52,,,1949597,6519,279526,,,,,377856,360176,1685,0,38927,,,,,,5057763,25722,5057763,25722,321995,,,,2309773,7989,,0
2021-01-18,CO,5386,4699,7,687,20717,20717,862,30,,,1943078,4572,278992,,,,,376171,358706,1190,0,38783,,,,,,5032041,24915,5032041,24915,318453,,,,2301784,5684,,0
2021-01-17,CO,5379,4694,16,685,20687,20687,879,23,,,1938506,6473,278015,,,,,374981,357594,1498,0,38519,,,,,,5007126,33385,5007126,33385,317775,,,,2296100,7898,,0
2021-01-16,CO,5363,4679,20,684,20664,20664,911,37,,,1932033,6809,276206,,,,,373483,356169,2025,0,38074,,,,,,4973741,36638,4973741,36638,316534,,,,2288202,8588,,0
2021-01-15,CO,5343,4659,27,684,20627,20627,891,101,,,1925224,6770,273944,,,,,371458,354390,2281,0,37552,,,,,,4937103,41266,4937103,41266,314280,,,,2279614,8852,,0
2021-01-14,CO,5316,4632,31,684,20526,20526,903,94,,,1918454,6227,270876,,,,,369177,352308,2403,0,36847,,,,,,4895837,38882,4895837,38882,311496,,,,2270762,8390,,0
2021-01-13,CO,5285,4596,43,689,20432,20432,886,152,,,1912227,7235,268778,,,,,366774,350145,2438,0,36230,,,,,,4856955,35319,4856955,35319,307723,,,,2262372,9350,,0
2021-01-12,CO,5242,4558,29,684,20280,20280,930,265,,,1904992,4291,266762,,,,,364336,348030,1511,0,35596,,,,,,4821636,23473,4821636,23473,305008,,,,2253022,5567,,0
2021-01-11,CO,5213,4539,5,674,20015,20015,914,30,,,1900701,5880,266762,,,,,362825,346754,1677,0,35596,,,,,,4798163,27412,4798163,27412,302358,,,,2247455,7538,,0
2021-01-10,CO,5208,4534,18,674,19985,19985,873,23,,,1894821,7972,264123,,,,,361148,345096,2201,0,34893,,,,,,4770751,33948,4770751,33948,300702,,,,2239917,9993,,0
2021-01-09,CO,5190,4469,52,669,19962,19962,915,107,,,1886849,8733,264123,,,,,358947,343075,2837,0,34893,,,,,,4736803,43809,4736803,43809,299016,,,,2229924,11417,,0
2021-01-08,CO,5138,4469,36,669,19855,19855,915,121,,,1878116,7884,260831,,,,,356110,340391,3187,0,33998,,,,,,4692994,43560,4692994,43560,297755,,,,2218507,10819,,0
2021-01-07,CO,5102,4436,52,666,19734,19734,954,31,,,1870232,19343,260831,,,,,352923,337456,3473,0,33998,,,,,,4649434,51679,4649434,51679,294829,,,,2207688,12377,,0
2021-01-06,CO,5050,4333,59,658,19703,19703,988,885,,,1850889,0,258225,,,,,349450,332332,2557,0,33330,,,,,,4597755,35699,4597755,35699,291555,,,,2195311,12090,,0
2021-01-05,CO,4991,4333,47,658,18818,18818,988,71,,,1850889,13956,255008,,,,,346893,332332,3458,0,32506,,,,,,4562056,32282,4562056,32282,289064,,,,2183221,17209,,0
2021-01-04,CO,4944,4290,10,654,18747,18747,1015,34,,,1836933,5058,254127,,,,,343435,329079,2185,0,32293,,,,,,4529774,27278,4529774,27278,287514,,,,2166012,7184,,0
2021-01-03,CO,4934,4280,22,654,18713,18713,991,35,,,1831875,4869,252963,,,,,341250,326953,2078,0,32004,,,,,,4502496,27749,4502496,27749,286420,,,,2158828,6876,,0
2021-01-02,CO,4912,4259,39,653,18678,18678,1016,27,,,1827006,4539,251504,,,,,339172,324946,2011,0,31514,,,,,,4474747,30541,4474747,30541,284967,,,,2151952,6541,,0
2021-01-01,CO,4873,4221,59,652,18651,18651,1044,53,,,1822467,6898,249633,,,,,337161,322944,3064,0,31022,,,,,,4444206,37539,4444206,37539,283018,,,,2145411,9821,,0
2020-12-31,CO,4814,4168,64,646,18598,18598,1086,96,,,1815569,6029,247103,,,,,334097,320021,3238,0,30488,,,,,,4406667,38536,4406667,38536,280655,,,,2135590,9018,,0
2020-12-30,CO,4750,4111,63,639,18502,18502,1150,272,,,1809540,5337,247103,,,,,330859,317032,2451,0,30488,,,,,,4368131,24722,4368131,24722,277591,,,,2126572,7598,,0
2020-12-29,CO,4687,4047,56,640,18230,18230,1188,268,,,1804203,3265,244844,,,,,328408,314771,1740,0,29935,,,,,,4343409,14513,4343409,14513,276149,,,,2118974,4718,,0
2020-12-28,CO,4631,4001,21,630,17962,17962,1173,50,,,1800938,4869,243873,,,,,326668,313318,1650,0,29709,,,,,,4328896,22325,4328896,22325,274779,,,,2114256,6480,,0
2020-12-27,CO,4610,3979,18,631,17912,17912,1186,52,,,1796069,4142,243405,,,,,325018,311707,1399,0,29565,,,,,,4306571,31783,4306571,31783,273582,,,,2107776,5504,,0
2020-12-26,CO,4592,3953,6,639,17860,17860,1168,21,,,1791927,4333,241681,,,,,323619,310345,1430,0,29117,,,,,,4274788,23746,4274788,23746,272970,,,,2102272,5771,,0
2020-12-25,CO,4586,3948,36,638,17839,17839,1169,46,,,1787594,10386,239810,,,,,322189,308907,2659,0,28563,,,,,,4251042,53092,4251042,53092,270798,,,,2096501,12954,,0
2020-12-24,CO,4550,3913,88,637,17793,17793,1260,151,,,1777208,10504,237668,,,,,319530,306339,3030,0,28074,,,,,,4197950,44166,4197950,44166,268373,,,,2083547,13350,,0
2020-12-23,CO,4462,3831,93,631,17642,17642,1336,161,,,1766704,10601,235832,,,,,316500,303493,2948,0,27602,,,,,,4153784,43042,4153784,43042,265742,,,,2070197,13403,,0
2020-12-22,CO,4369,3747,-9,622,17481,17481,1358,253,,,1756103,7399,233980,,,,,313552,300691,2516,0,27108,,,,,,4110742,34321,4110742,34321,263434,,,,2056794,9673,,0
2020-12-21,CO,4378,3769,10,609,17228,17228,1386,57,,,1748704,10396,232595,,,,,311036,298417,2146,0,26811,,,,,,4076421,31861,4076421,31861,261088,,,,2047121,12488,,0
2020-12-20,CO,4368,3759,29,609,17171,17171,1398,41,,,1738308,9898,230369,,,,,308890,296325,2292,0,26199,,,,,,4044560,39692,4044560,39692,259406,,,,2034633,12168,,0
2020-12-19,CO,4339,3730,80,609,17130,17130,1433,110,,,1728410,7454,230369,,,,,306598,294055,2491,0,26199,,,,,,4004868,33004,4004868,33004,256568,,,,2022465,9851,,0
2020-12-18,CO,4259,3655,33,604,17020,17020,1476,316,,,1720956,10585,226960,,,,,304107,291658,3693,0,25547,,,,,,3971864,47792,3971864,47792,252507,,,,2012614,14138,,0
2020-12-17,CO,4226,3633,70,593,16704,16704,1509,90,,,1710371,9158,218820,,,,,300414,288105,3698,0,23888,,,,,,3924072,46805,3924072,46805,247453,,,,1998476,12726,,0
2020-12-16,CO,4156,3570,71,586,16614,16614,1554,127,,,1701213,6874,215771,,,,,296716,284537,3334,0,23298,,,,,,3877267,35442,3877267,35442,242708,,,,1985750,10065,,0
2020-12-15,CO,4085,3505,116,580,16487,16487,1554,313,,,1694339,4736,213157,,,,,293382,281346,2278,0,22725,,,,,,3841825,31936,3841825,31936,239069,,,,1975685,6804,,0
2020-12-14,CO,3969,3398,11,571,16174,16174,1585,48,,,1689603,10387,212548,,,,,291104,279278,2911,0,22560,,,,,,3809889,36588,3809889,36588,235882,,,,1968881,13275,,0
2020-12-13,CO,3958,3388,87,570,16126,16126,1610,34,,,1679216,9224,210100,,,,,288193,276390,2559,0,22018,,,,,,3773301,35198,3773301,35198,235108,,,,1955606,11747,,0
2020-12-12,CO,3871,3305,25,566,16092,16092,1607,143,,,1669992,10966,210100,,,,,285634,273867,3961,0,22018,,,,,,3738103,46640,3738103,46640,232118,,,,1943859,14870,,0
2020-12-11,CO,3846,3283,87,563,15949,15949,1675,293,,,1659026,9726,207064,,,,,281673,269963,4678,0,21310,,,,,,3691463,48945,3691463,48945,228374,,,,1928989,14186,,0
2020-12-10,CO,3759,3210,120,549,15656,15656,1659,136,,,1649300,10740,198799,,,,,276995,265503,4649,0,19580,,,,,,3642518,50721,3642518,50721,223852,,,,1914803,15233,,0
2020-12-09,CO,3639,3100,267,539,15520,15520,1684,563,,,1638560,7832,197968,,,,,272346,261010,3757,0,19292,,,,,,3591797,40346,3591797,40346,218379,,,,1899570,11560,,0
2020-12-08,CO,3372,2845,14,527,14957,14957,1755,53,,,1630728,10429,197968,,,,,268589,257282,3971,0,19292,,,,,,3551451,35448,3551451,35448,217260,,,,1888010,14222,,0
2020-12-07,CO,3358,2841,2,517,14904,14904,1779,36,,,1620299,11470,196089,,,,,264618,253489,4037,0,18864,,,,,,3516003,37843,3516003,37843,215691,,,,1873788,15447,,0
2020-12-06,CO,3356,2839,-1,517,14868,14868,1750,24,,,1608829,34610,196089,,,,,260581,249512,3234,0,18864,,,,,,3478160,36046,3478160,36046,214953,,,,1858341,42697,,0
2020-12-05,CO,3357,2840,19,517,14844,14844,1812,82,,,1574219,0,194770,,,,,257347,246333,5125,0,18530,,,,,,3442114,45040,3442114,45040,214953,,,,1815644,0,,0
2020-12-04,CO,3338,2831,18,507,14762,14762,1883,183,,,1574219,13363,194770,,,,,252222,241425,5013,0,18530,,,,,,3397074,53979,3397074,53979,213300,,,,1815644,18267,,0
2020-12-03,CO,3320,2819,127,501,14579,14579,1956,216,,,1560856,12178,191093,,,,,247209,236521,6037,0,17594,,,,,,3343095,54195,3343095,54195,210946,,,,1797377,17994,,0
2020-12-02,CO,3193,2700,84,493,14363,14363,1995,247,,,1548678,7534,191093,,,,,241172,230705,3862,0,17594,,,,,,3288900,33359,3288900,33359,208687,,,,1779383,11285,,0
2020-12-01,CO,3109,2619,72,490,14116,14116,1977,628,,,1541144,9800,189562,,,,,237310,226954,4405,0,17222,,,,,,3255541,36690,3255541,36690,207350,,,,1768098,14051,,0
2020-11-30,CO,3037,2561,34,476,13488,13488,1940,60,,,1531344,12038,189136,,,,,232905,222703,4133,0,17152,,,,,,3218851,43725,3218851,43725,206784,,,,1754047,16095,,0
2020-11-29,CO,3003,2530,20,473,13428,13428,1847,59,,,1519306,9047,188172,,,,,228772,218646,3489,0,16879,,,,,,3175126,31899,3175126,31899,206288,,,,1737952,12500,,0
2020-11-28,CO,2983,2511,6,472,13369,13369,1852,82,,,1510259,13805,188172,,,,,225283,215193,4330,0,16879,,,,,,3143227,51389,3143227,51389,205051,,,,1725452,18078,,0
2020-11-27,CO,2977,2505,20,472,13287,13287,1797,39,,,1496454,13492,187345,,,,,220953,210920,4270,0,16707,,,,,,3091838,45689,3091838,45689,204052,,,,1707374,17717,,0
2020-11-26,CO,2957,2485,51,472,13248,13248,1777,204,,,1482962,21870,184336,,,,,216683,206695,6053,0,16010,,,,,,3046149,65750,3046149,65750,202075,,,,1689657,27654,,0
2020-11-25,CO,2906,2439,46,467,13044,13044,1794,208,,,1461092,12932,183560,,,,,210630,200911,4191,0,15819,,,,,,2980399,41136,2980399,41136,200346,,,,1662003,16894,,0
2020-11-24,CO,2860,2396,50,464,12836,12836,1739,310,,,1448160,10232,183560,,,,,206439,196949,4150,0,15819,,,,,,2939263,37523,2939263,37523,199379,,,,1645109,14238,,0
2020-11-23,CO,2810,2347,4,463,12526,12526,1711,42,,,1437928,15649,182357,,,,,202289,192943,3689,0,15579,,,,,,2901740,46130,2901740,46130,198604,,,,1630871,19307,,0
2020-11-22,CO,2806,2343,19,463,12484,12484,1670,60,,,1422279,18264,182357,,,,,198600,189285,3921,0,15579,,,,,,2855610,47972,2855610,47972,197936,,,,1611564,22169,,0
2020-11-21,CO,2787,2326,42,461,12424,12424,1703,258,,,1404015,19617,181571,,,,,194679,185380,6113,0,15445,,,,,,2807638,54920,2807638,54920,197016,,,,1589395,25657,,0
2020-11-20,CO,2745,2291,15,454,12166,12166,1723,186,,,1384398,20692,180596,,,,,188566,179340,5765,0,15262,,,,,,2752718,57018,2752718,57018,195858,,,,1563738,26379,,0
2020-11-19,CO,2730,2277,79,453,11980,11980,1593,178,,,1363706,20132,179842,,,,,182801,173653,6107,0,15141,,,,,,2695700,55085,2695700,55085,194983,,,,1537359,26159,,0
2020-11-18,CO,2651,2207,43,444,11802,11802,1593,194,,,1343574,15269,179183,,,,,176694,167626,4650,0,15004,,,,,,2640615,41034,2640615,41034,194187,,,,1511200,19819,,0
2020-11-17,CO,2608,2177,30,431,11608,11608,1543,405,,,1328305,14712,178706,,,,,172044,163076,4331,0,14896,,,,,,2599581,39485,2599581,39485,193602,,,,1491381,18924,,0
2020-11-16,CO,2578,2153,32,425,11203,11203,1424,79,,,1313593,14027,178395,,,,,167713,158864,4296,0,14841,,,,,,2560096,36344,2560096,36344,193236,,,,1472457,17633,,0
2020-11-15,CO,2546,2137,21,409,11124,11124,1417,68,,,1299566,14476,177943,,,,,163417,155258,4183,0,14772,,,,,,2523752,38301,2523752,38301,192715,,,,1454824,18619,,0
2020-11-14,CO,2525,2116,21,409,11056,11056,1325,195,,,1285090,15227,177403,,,,,159234,151115,5196,0,14666,,,,,,2485451,41852,2485451,41852,192069,,,,1436205,20319,,0
2020-11-13,CO,2504,2096,36,408,10861,10861,1315,264,,,1269863,17213,176656,,,,,154038,146023,6439,0,14549,,,,,,2443599,51797,2443599,51797,191205,,,,1415886,26752,,0
2020-11-12,CO,2468,2060,25,408,10597,10597,1322,59,,,1252650,0,175579,,,,,147599,139741,5197,0,14341,,,,,,2391802,44534,2391802,44534,189920,,,,1389134,1866,,0
2020-11-11,CO,2443,2039,16,404,10538,10538,1304,275,,,1252650,16291,175579,,,,,142402,134618,3975,0,14341,,,,,,2347268,40486,2347268,40486,189920,,,,1387268,20241,,0
2020-11-10,CO,2427,2024,19,403,10263,10263,1270,213,,,1236359,11701,175251,,,,,138427,130668,3890,0,14272,,,,,,2306782,32354,2306782,32354,189523,,,,1367027,15532,,0
2020-11-09,CO,2408,2007,14,401,10050,10050,1174,33,,,1224658,13686,174883,,,,,134537,126837,3553,0,14228,,,,,,2274428,29043,2274428,29043,189111,,,,1351495,17172,,0
2020-11-08,CO,2394,1994,5,400,10017,10017,1134,20,,,1210972,10965,174720,,,,,130984,123351,3017,0,14201,,,,,,2245385,30597,2245385,30597,188921,,,,1334323,13934,,0
2020-11-07,CO,2389,1990,13,399,9997,9997,1087,86,,,1200007,13630,174305,,,,,127967,120382,3498,0,14110,,,,,,2214788,37697,2214788,37697,188415,,,,1320389,17044,,0
2020-11-06,CO,2376,1978,23,398,9911,9911,1041,197,,,1186377,12903,173624,,,,,124469,116968,3463,0,14007,,,,,,2177091,35158,2177091,35158,187631,,,,1303345,16264,,0
2020-11-05,CO,2353,1956,20,397,9714,9714,1016,96,,,1173474,11264,173088,,,,,121006,113607,3369,0,13913,,,,,,2141933,32819,2141933,32819,187001,,,,1287081,14587,,0
2020-11-04,CO,2333,1935,22,398,9618,9618,970,438,,,1162210,9774,172469,,,,,117637,110284,2928,0,13795,,,,,,2109114,26963,2109114,26963,186264,,,,1272494,12641,,0
2020-11-03,CO,2311,1915,19,396,9180,9180,925,66,,,1152436,8255,172080,,,,,114709,107417,2562,0,13725,,,,,,2082151,21509,2082151,21509,185805,,,,1259853,10725,,0
2020-11-02,CO,2292,1899,4,393,9114,9114,858,25,,,1144181,10624,171734,,,,,112147,104947,2237,0,13684,,,,,,2060642,25847,2060642,25847,185418,,,,1249128,12805,,0
2020-11-01,CO,2288,1896,3,392,9089,9089,788,25,,,1133557,11501,171321,,,,,109910,102766,2560,0,13636,,,,,,2034795,30073,2034795,30073,184957,,,,1236323,14047,,0
2020-10-31,CO,2285,1893,7,392,9064,9064,788,33,,,1122056,12015,170938,,,,,107350,100220,2924,0,13571,,,,,,2004722,41137,2004722,41137,184509,,,,1222276,14838,,0
2020-10-30,CO,2278,1886,10,392,9031,9031,781,88,,,1110041,8846,170282,,,,,104426,97397,2412,0,13493,,,,,,1963585,27177,1963585,27177,183775,,,,1207438,11136,,0
2020-10-29,CO,2268,1880,19,388,8943,8943,742,89,,,1101195,9545,169651,,,,,102014,95107,1806,0,13404,,,,,,1936408,25425,1936408,25425,183055,,,,1196302,11259,,0
2020-10-28,CO,2249,1861,13,388,8854,8854,721,76,,,1091650,6629,169104,,,,,100208,93393,1475,0,13307,,,,,,1910983,18034,1910983,18034,182411,,,,1185043,7999,,0
2020-10-27,CO,2236,1850,10,386,8778,8778,648,120,,,1085021,6971,168744,,,,,98733,92023,1433,0,13243,,,,,,1892949,18848,1892949,18848,181987,,,,1177044,8319,,0
2020-10-26,CO,2226,1843,3,383,8658,8658,591,36,,,1078050,16905,168532,,,,,97300,90675,2211,0,13218,,,,,,1874101,31847,1874101,31847,181750,,,,1168725,19096,,0
2020-10-25,CO,2223,1839,5,384,8622,8622,586,24,,,1061145,10390,167544,,,,,95089,88484,1689,0,12921,,,,,,1842254,24058,1842254,24058,180465,,,,1149629,12059,,0
2020-10-24,CO,2218,1835,7,383,8598,8598,599,41,,,1050755,11426,167199,,,,,93400,86815,1828,0,12853,,,,,,1818196,27792,1818196,27792,180052,,,,1137570,13161,,0
2020-10-23,CO,2211,1829,13,382,8557,8557,550,79,,,1039329,9351,166491,,,,,91572,85080,1350,0,12741,,,,,,1790404,25756,1790404,25756,179232,,,,1124409,10610,,0
2020-10-22,CO,2198,1816,4,382,8478,8478,547,98,,,1029978,8584,165942,,,,,90222,83821,1373,0,12684,,,,,,1764648,22065,1764648,22065,178626,,,,1113799,9847,,0
2020-10-21,CO,2194,1812,12,382,8380,8380,532,48,,,1021394,7201,165390,,,,,88849,82558,1267,0,12616,,,,,,1742583,18545,1742583,18545,178006,,,,1103952,8231,,0
2020-10-20,CO,2182,1801,2,381,8332,8332,516,84,,,1014193,5287,165070,,,,,87582,81528,1208,0,12594,,,,,,1724038,15588,1724038,15588,177664,,,,1095721,6279,,0
2020-10-19,CO,2180,1800,4,380,8248,8248,465,21,,,1008906,8240,164811,,,,,86374,80536,1072,0,12564,,,,,,1708450,19137,1708450,19137,177375,,,,1089442,9284,,0
2020-10-18,CO,2176,1796,0,380,8227,8227,445,10,,,1000666,9258,164456,,,,,85302,79492,933,0,12531,,,,,,1689313,21260,1689313,21260,176987,,,,1080158,10181,,0
2020-10-17,CO,2176,1796,4,380,8217,8217,428,48,,,991408,9154,164003,,,,,84369,78569,1139,0,12492,,,,,,1668053,21496,1668053,21496,176495,,,,1069977,10146,,0
2020-10-16,CO,2172,1792,10,380,8169,8169,434,42,,,982254,8065,163468,,,,,83230,77577,1312,0,12432,,,,,,1646557,21030,1646557,21030,175900,,,,1059831,9265,,0
2020-10-15,CO,2162,1783,2,379,8127,8127,420,59,,,974189,9699,163043,,,,,81918,76377,1141,0,12385,,,,,,1625527,22571,1625527,22571,175428,,,,1050566,10791,,0
2020-10-14,CO,2160,1781,7,379,8068,8068,405,65,,,964490,6600,162573,,,,,80777,75285,692,0,12345,,,,,,1602956,14324,1602956,14324,174918,,,,1039775,7230,,0
2020-10-13,CO,2153,1777,37,376,8003,8003,385,88,,,957890,8218,162253,,,,,80085,74655,1048,0,12313,,,,,,1588632,17303,1588632,17303,174566,,,,1032545,9229,,0
2020-10-12,CO,2116,1747,3,369,7915,7915,370,22,,,949672,5569,161949,,,,,79037,73644,576,0,12294,,,,,,1571329,11150,1571329,11150,174243,,,,1023316,6097,,0
2020-10-11,CO,2113,1745,1,368,7893,7893,383,14,,,944103,9572,161640,,,,,78461,73116,819,0,12266,,,,,,1560179,19017,1560179,19017,173906,,,,1017219,10372,,0
2020-10-10,CO,2112,1744,9,368,7879,7879,365,24,,,934531,10063,161169,,,,,77642,72316,1023,0,12222,,,,,,1541162,22708,1541162,22708,173391,,,,1006847,11030,,0
2020-10-09,CO,2103,1736,8,367,7855,7855,380,21,,,924468,10031,160671,,,,,76619,71349,834,0,12172,,,,,,1518454,22256,1518454,22256,172843,,,,995817,10821,,0
2020-10-08,CO,2095,1729,10,366,7834,7834,356,63,,,914437,9322,160046,,,,,75785,70559,863,0,12116,,,,,,1496198,18897,1496198,18897,172162,,,,984996,10133,,0
2020-10-07,CO,2085,1720,4,365,7771,7771,369,50,,,905115,8715,159485,,,,,74922,69748,731,0,12048,,,,,,1477301,17969,1477301,17969,171533,,,,974863,9414,,0
2020-10-06,CO,2081,1718,12,363,7721,7721,343,28,,,896400,7316,159182,,,,,74191,69049,654,0,12017,,,,,,1459332,15070,1459332,15070,171199,,,,965449,7916,,0
2020-10-05,CO,2069,1707,1,362,7693,7693,325,20,,,889084,6341,158899,,,,,73537,68449,461,0,11998,,,,,,1444262,13722,1444262,13722,170897,,,,957533,6774,,0
2020-10-04,CO,2068,1706,8,362,7673,7673,303,7,,,882743,7903,158572,,,,,73076,68016,521,0,11967,,,,,,1430540,16204,1430540,16204,170539,,,,950759,8420,,0
2020-10-03,CO,2060,1698,3,362,7666,7666,296,13,,,874840,8817,158144,,,,,72555,67499,657,0,11926,,,,,,1414336,17990,1414336,17990,170070,,,,942339,9425,,0
2020-10-02,CO,2057,1696,3,361,7653,7653,304,74,,,866023,10033,157665,,,,,71898,66891,680,0,11878,,,,,,1396346,19426,1396346,19426,169543,,,,932914,10682,,0
2020-10-01,CO,2054,1696,3,358,7579,7579,282,11,,,855990,10142,157044,,,,,71218,66242,682,0,11827,,,,,,1376920,19761,1376920,19761,168871,,,,922232,10806,,0
2020-09-30,CO,2051,1694,5,357,7568,7568,264,10,,,845848,8721,156576,,,,,70536,65578,511,0,11761,,,,,,1357159,15979,1357159,15979,168337,,,,911426,9184,,0
2020-09-29,CO,2046,1689,2,357,7558,7558,268,28,,,837127,6743,156256,,,,,70025,65115,535,0,11733,,,,,,1341180,14538,1341180,14538,167989,,,,902242,7246,,0
2020-09-28,CO,2044,1687,3,357,7530,7530,246,7,,,830384,6082,155928,,,,,69490,64612,411,0,11707,,,,,,1326642,13239,1326642,13239,167635,,,,894996,6457,,0
2020-09-27,CO,2041,1685,1,356,7523,7523,263,3,,,824302,9970,155723,,,,,69079,64237,569,0,11693,,,,,,1313403,17748,1313403,17748,167416,,,,888539,10518,,0
2020-09-26,CO,2040,1684,3,356,7520,7520,248,41,,,814332,9526,155335,,,,,68510,63689,584,0,11633,,,,,,1295655,18042,1295655,18042,166968,,,,878021,10078,,0
2020-09-25,CO,2037,1682,4,355,7479,7479,248,25,,,804806,9218,154823,,,,,67926,63137,709,0,11592,,,,,,1277613,16752,1277613,16752,166415,,,,867943,9835,,0
2020-09-24,CO,2033,1678,3,355,7454,7454,258,10,,,795588,8665,154312,,,,,67217,62520,548,0,11561,,,,,,1260861,15116,1260861,15116,165873,,,,858108,9202,,0
2020-09-23,CO,2030,1676,5,354,7444,7444,259,28,,,786923,7865,153766,,,,,66669,61983,616,0,11524,,,,,,1245745,13457,1245745,13457,165290,,,,848906,8454,,0
2020-09-22,CO,2025,1672,7,353,7416,7416,230,43,,,779058,5573,155465,,,,,66053,61394,654,0,11645,,,,,,1232288,13151,1232288,13151,167110,,,,840452,6175,,0
2020-09-21,CO,2018,1666,4,352,7373,7373,239,10,,,773485,5633,155187,,,,,65399,60792,542,0,11624,,,,,,1219137,10712,1219137,10712,166809,,,,834277,6169,,0
2020-09-20,CO,2014,1663,1,351,7363,7363,239,6,,,767852,6506,154948,,,,,64857,60256,501,0,11600,,,,,,1208425,13046,1208425,13046,166546,,,,828108,6980,,0
2020-09-19,CO,2013,1662,4,351,7357,7357,237,10,,,761346,7227,154630,,,,,64356,59782,606,0,11568,,,,,,1195379,13550,1195379,13550,166196,,,,821128,7773,,0
2020-09-18,CO,2009,1658,3,351,7347,7347,230,20,,,754119,8023,154006,,,,,63750,59236,605,0,11507,,,,,,1181829,14919,1181829,14919,165511,,,,813355,8588,,0
2020-09-17,CO,2006,1655,4,351,7327,7327,213,39,,,746096,6860,153449,,,,,63145,58671,459,0,11458,,,,,,1166910,13057,1166910,13057,164905,,,,804767,7274,,0
2020-09-16,CO,2002,1651,6,351,7288,7288,248,26,,,739236,5602,152929,,,,,62686,58257,587,0,11393,,,,,,1153853,9912,1153853,9912,164320,,,,797493,6054,,0
2020-09-15,CO,1996,1645,6,351,7262,7262,273,22,,,733634,4576,152511,,,,,62099,57805,400,0,11370,,,,,,1143941,9275,1143941,9275,164320,,,,791439,4928,,0
2020-09-14,CO,1990,1639,2,351,7240,7240,239,13,,,729058,5852,152267,,,,,61699,57453,375,0,11348,,,,,,1134666,10485,1134666,10485,163615,,,,786511,6206,,0
2020-09-13,CO,1988,1637,0,351,7227,7227,228,4,,,723206,6625,151964,,,,,61324,57099,417,0,11326,,,,,,1124181,12609,1124181,12609,163290,,,,780305,7020,,0
2020-09-12,CO,1988,1637,3,351,7223,7223,226,15,,,716581,6846,151566,,,,,60907,56704,415,0,11300,,,,,,1111572,13587,1111572,13587,162866,,,,773285,7172,,0
2020-09-11,CO,1985,1634,6,351,7208,7208,232,22,,,709735,5238,151073,,,,,60492,56378,307,0,11252,,,,,,1097985,10786,1097985,10786,162325,,,,766113,5503,,0
2020-09-10,CO,1979,1629,2,350,7186,7186,240,13,,,704497,4065,150679,,,,,60185,56113,265,0,11227,,,,,,1087199,7923,1087199,7923,161906,,,,760610,4312,,0
2020-09-09,CO,1977,1627,4,350,7173,7173,226,12,,,700432,2865,150319,,,,,59920,55866,246,0,11199,,,,,,1079276,5297,1079276,5297,161518,,,,756298,3089,,0
2020-09-08,CO,1973,1623,0,350,7161,7161,218,19,,,697567,2735,150102,,,,,59674,55642,187,0,11175,,,,,,1073979,4373,1073979,4373,161277,,,,753209,2919,,0
2020-09-07,CO,1973,1623,1,350,7142,7142,237,4,,,694832,5645,149940,,,,,59487,55458,213,0,11166,,,,,,1069606,10049,1069606,10049,161106,,,,750290,5847,,0
2020-09-06,CO,1972,1623,1,349,7138,7138,227,4,,,689187,5604,149674,,,,,59274,55256,285,0,11137,,,,,,1059557,8473,1059557,8473,160811,,,,744443,5880,,0
2020-09-05,CO,1971,1622,5,349,7134,7134,220,9,,,683583,6270,149229,,,,,58989,54980,334,0,11117,,,,,,1051084,10332,1051084,10332,160346,,,,738563,6541,,0
2020-09-04,CO,1966,1617,11,349,7125,7125,219,21,,,677313,6585,148645,,,,,58655,54709,368,0,11076,,,,,,1040752,10961,1040752,10961,159721,,,,732022,6927,,0
2020-09-03,CO,1955,1606,3,349,7104,7104,211,14,,,670728,5689,148063,,,,,58287,54367,268,0,11028,,,,,,1029791,8294,1029791,8294,159091,,,,725095,5947,,0
2020-09-02,CO,1952,1604,6,348,7090,7090,247,37,,,665039,4416,147605,,,,,58019,54109,244,0,10998,,,,,,1021497,6855,1021497,6855,158603,,,,719148,4647,,0
2020-09-01,CO,1946,1598,1,348,7053,7053,236,25,,,660623,3279,147258,,,,,57775,53878,351,0,10966,,,,,,1014642,4672,1014642,4672,158224,,,,714501,3578,,0
